,Unnamed: 0,Unnamed: 0.1,text,Stopword,grup
1448,1812,1812,bts superfan marries cardboard cutout of jimin in las vegas ,"['bts', 'superfan', 'marries', 'cardboard', 'cutout', 'jimin', 'las', 'vegas']",bts
1466,1830,1830,bts rumored to perform at the grammy awards ,"['bts', 'rumored', 'perform', 'grammy', 'awards']",bts
1468,1832,1832,here are records bts could possibly break with upcoming album release ,"['records', 'bts', 'could', 'possibly', 'break', 'upcoming', 'album', 'release']",bts
1471,1835,1835,fans are touched by bts jimin kind gestures at the th golden disc awards ,"['fans', 'touched', 'bts', 'jimin', 'kind', 'gestures', 'th', 'golden', 'disc', 'awards']",bts
1474,1838,1838,filipina actress jokes that she is sasaeng fan of bts and armys are not happy ,"['filipina', 'actress', 'jokes', 'sasaeng', 'fan', 'bts', 'armys', 'happy']",bts
1475,1839,1839,twitter is on fire after news dropped for bts comeback this february ,"['twitter', 'fire', 'news', 'dropped', 'bts', 'comeback', 'february']",bts
1479,1843,1843,everyone missed bts v comeback spoiler except rm and jimin ,"['everyone', 'missed', 'bts', 'v', 'comeback', 'spoiler', 'except', 'rm', 'jimin']",bts
1482,1846,1846,bts jungkook revealed another part of his tattoo to army ,"['bts', 'jungkook', 'revealed', 'another', 'part', 'tattoo', 'army']",bts
1483,1847,1847,pengsoo answers questions about bts and which member is his favorite ,"['pengsoo', 'answers', 'questions', 'bts', 'member', 'favorite']",bts
1485,1849,1849, map of the soul theories that will get you hyped for bts comeback ,"['map', 'soul', 'theories', 'get', 'hyped', 'bts', 'comeback']",bts
1490,1854,1854,bts deleted tweet is driving fans bananas in the best way ,"['bts', 'deleted', 'tweet', 'driving', 'fans', 'bananas', 'best', 'way']",bts
1494,1858,1858,bts jungkook apology to fans is breaking their hearts ,"['bts', 'jungkook', 'apology', 'fans', 'breaking', 'hearts']",bts
1495,1859,1859,bts announces comeback date for map of the soul ,"['bts', 'announces', 'comeback', 'date', 'map', 'soul']",bts
1498,1862,1862,here the story behind younha and bts rm winter flower collaboration ,"['story', 'behind', 'younha', 'bts', 'rm', 'winter', 'flower', 'collaboration']",bts
1500,1864,1864,bts superfan oli london to appear on dr phil ,"['bts', 'superfan', 'oli', 'london', 'appear', 'dr', 'phil']",bts
1503,1867,1867,shinsegae backs down in dispute against bighit over the copyright to bts ,"['shinsegae', 'backs', 'dispute', 'bighit', 'copyright', 'bts']",bts
1505,1869,1869,sugas story about gdragon reveals how much bts have changed ,"['sugas', 'story', 'gdragon', 'reveals', 'much', 'bts', 'changed']",bts
1506,1870,1870, hilarious times bts tested leader rms patience ,"['hilarious', 'times', 'bts', 'tested', 'leader', 'rms', 'patience']",bts
1508,1872,1872, times bts and jimins relationship was too cute for words ,"['times', 'bts', 'jimins', 'relationship', 'cute', 'words']",bts
1509,1873,1873,top most emotional lyrics from bts songs ,"['top', 'emotional', 'lyrics', 'bts', 'songs']",bts
1521,1885,1885,bighit claims shinsegae is trying to steal the copyright to bts ,"['bighit', 'claims', 'shinsegae', 'trying', 'steal', 'copyright', 'bts']",bts
1525,1889,1889,netizens cant stop talking about bts jungkooks gesture about han ye seuls nose ring ,"['netizens', 'cant', 'stop', 'talking', 'bts', 'jungkooks', 'gesture', 'han', 'ye', 'seuls', 'nose', 'ring']",bts
1527,1891,1891,ailee gushes about bts jimin and reveals she wanted to collaborate since his debut ,"['ailee', 'gushes', 'bts', 'jimin', 'reveals', 'wanted', 'collaborate', 'since', 'debut']",bts
1561,1925,1925,kim tae hee names bts and super junior as kpop groups that gave her strength ,"['kim', 'tae', 'hee', 'names', 'bts', 'super', 'junior', 'kpop', 'groups', 'gave', 'strength']",bts
1563,1927,1927,director bong joon ho praises bts power and influence at the golden globes ,"['director', 'bong', 'joon', 'ho', 'praises', 'bts', 'power', 'influence', 'golden', 'globes']",bts
1566,1930,1930,fans are upset that bts jhope wasn given the chance to speak after receiving the award ,"['fans', 'upset', 'bts', 'jhope', 'given', 'chance', 'speak', 'receiving', 'award']",bts
1569,1933,1933,here why bts continues to be world class group according to manner coach ,"['bts', 'continues', 'world', 'class', 'group', 'according', 'manner', 'coach']",bts
1576,1940,1940,bts blesses one another during the th golden disc awards red carpet event ,"['bts', 'blesses', 'one', 'another', 'th', 'golden', 'disc', 'awards', 'red', 'carpet', 'event']",bts
1578,1942,1942,bts jimin couldn resist pengsoo charms as he went in for that back hug ,"['bts', 'jimin', 'resist', 'pengsoo', 'charms', 'went', 'back', 'hug']",bts
1579,1943,1943,bts is the only asian artist to be listed on the top best selling artists of the ,"['bts', 'asian', 'artist', 'listed', 'top', 'best', 'selling', 'artists']",bts
1584,1948,1948,bts jin is warming the hearts of many with kind gesture towards ,"['bts', 'jin', 'warming', 'hearts', 'many', 'kind', 'gesture', 'towards']",bts
1586,1950,1950,foreign former sasaeng confessed the lengths she went to in order to get close to bts ,"['foreign', 'former', 'sasaeng', 'confessed', 'lengths', 'went', 'order', 'get', 'close', 'bts']",bts
1594,1958,1958,bts jimin knows exactly what the big camera goddesses want ,"['bts', 'jimin', 'knows', 'exactly', 'big', 'camera', 'goddesses', 'want']",bts
1596,1960,1960,bts v embracing youtube star pengsoo is the softest thing you ll see this week ,"['bts', 'v', 'embracing', 'youtube', 'star', 'pengsoo', 'softest', 'thing', 'see', 'week']",bts
1599,1963,1963,bts rm speaks up about chart manipulation at the th golden disc awards ,"['bts', 'rm', 'speaks', 'chart', 'manipulation', 'th', 'golden', 'disc', 'awards']",bts
1609,1973,1973,bts v accidentally fell on his knees at the golden disc awards and jin did this to save him ,"['bts', 'v', 'accidentally', 'fell', 'knees', 'golden', 'disc', 'awards', 'jin', 'save']",bts
1619,1983,1983, most visually pleasing moments in bts jimin dionysus choreography ,"['visually', 'pleasing', 'moments', 'bts', 'jimin', 'dionysus', 'choreography']",bts
1620,1984,1984,reporters choose their best bts moments of ,"['reporters', 'choose', 'best', 'bts', 'moments']",bts
1624,1988,1988,bts jungkook dancing skills is the product of talent and hard work ,"['bts', 'jungkook', 'dancing', 'skills', 'product', 'talent', 'hard', 'work']",bts
1626,1990,1990,bts jungkook mma mask performance to be played in exhibition by unesco ,"['bts', 'jungkook', 'mma', 'mask', 'performance', 'played', 'exhibition', 'unesco']",bts
1629,1993,1993,chinese armys support bts jimin through tv ad during golden disk awards ,"['chinese', 'armys', 'support', 'bts', 'jimin', 'tv', 'ad', 'golden', 'disk', 'awards']",bts
1630,1994,1994,bts korean fans begin translation project for international armys ,"['bts', 'korean', 'fans', 'begin', 'translation', 'project', 'international', 'armys']",bts
1636,2000,2000,bts rm startles when he forgets all about their choreography ,"['bts', 'rm', 'startles', 'forgets', 'choreography']",bts
1653,2017,2017, times bts jungkook made us ugly cry over his baby tears in ,"['times', 'bts', 'jungkook', 'made', 'us', 'ugly', 'cry', 'baby', 'tears']",bts
1655,2019,2019,bts jungkook is still living in the fake love era ,"['bts', 'jungkook', 'still', 'living', 'fake', 'love', 'era']",bts
1656,2020,2020,december was an excellent month for bts jin stans thanks to his forehead ,"['december', 'excellent', 'month', 'bts', 'jin', 'stans', 'thanks', 'forehead']",bts
1657,2021,2021,nobody was feeling usher yeah more than bts ,"['nobody', 'feeling', 'usher', 'yeah', 'bts']",bts
1658,2022,2022,bts jimin moves vs jhopes comparison only to prove they re both irreplaceable ,"['bts', 'jimin', 'moves', 'vs', 'jhopes', 'comparison', 'prove', 'irreplaceable']",bts
1661,2025,2025,bts rm apologized for wearing glasses but that nerdy rm is everything we ever wanted ,"['bts', 'rm', 'apologized', 'wearing', 'glasses', 'nerdy', 'rm', 'everything', 'ever', 'wanted']",bts
1665,2029,2029,bts shares hilarious details about rm backstage workouts ,"['bts', 'shares', 'hilarious', 'details', 'rm', 'backstage', 'workouts']",bts
1668,2032,2032,bts jhope reveals what kind of music he wants to make in ,"['bts', 'jhope', 'reveals', 'kind', 'music', 'wants', 'make']",bts
1669,2033,2033,bts jin hit announces his new year resolution for ,"['bts', 'jin', 'hit', 'announces', 'new', 'year', 'resolution']",bts
1671,2035,2035,bts jungkook unleashed the artist in him when he gifted jhope custom made shoes ,"['bts', 'jungkook', 'unleashed', 'artist', 'gifted', 'jhope', 'custom', 'made', 'shoes']",bts
1683,2047,2047,bts v smile dropped when he realized he posed cutely for nothing ,"['bts', 'v', 'smile', 'dropped', 'realized', 'posed', 'cutely', 'nothing']",bts
1686,2050,2050,bts jhope wanted to be fairy but jimin wasn ready to hand over the title just yet ,"['bts', 'jhope', 'wanted', 'fairy', 'jimin', 'ready', 'hand', 'title', 'yet']",bts
1691,2055,2055,bts jimin nicknamed jimonashi after his new year rockin eve wardrobe malfunction ,"['bts', 'jimin', 'nicknamed', 'jimonashi', 'new', 'year', 'rockin', 'eve', 'wardrobe', 'malfunction']",bts
1695,2059,2059, bon voyage just proved bts v without shirt is exponentially hotter than with shirt ,"['bon', 'voyage', 'proved', 'bts', 'v', 'without', 'shirt', 'exponentially', 'hotter', 'shirt']",bts
1711,2075,2075, rare pictures of bts new army probably never seen before ,"['rare', 'pictures', 'bts', 'new', 'army', 'probably', 'never', 'seen']",bts
1722,2086,2086,suga was becoming btss second muscle pig but one thing stopped him ,"['suga', 'becoming', 'btss', 'second', 'muscle', 'pig', 'one', 'thing', 'stopped']",bts
1730,2094,2094,bts suga and jimin played who who at the airport again ,"['bts', 'suga', 'jimin', 'played', 'airport']",bts
1735,2099,2099,bts v became real life cinderella at the airport ,"['bts', 'v', 'became', 'real', 'life', 'cinderella', 'airport']",bts
1739,2103,2103,heres how btss dorms have changed over the years ,"['heres', 'btss', 'dorms', 'changed', 'years']",bts
1741,2105,2105,here are all things jungkook is golden at ,"['things', 'jungkook', 'golden']",bts
1743,2107,2107,bts opened up about the possibility of dating with their hectic schedules ,"['bts', 'opened', 'possibility', 'dating', 'hectic', 'schedules']",bts
1747,2111,2111,bts named as one of the defining artists of the decade by cnn ,"['bts', 'named', 'one', 'defining', 'artists', 'decade', 'cnn']",bts
1751,2115,2115, iconic times bts was rebellious af and fans loved it ,"['iconic', 'times', 'bts', 'rebellious', 'af', 'fans', 'loved']",bts
1754,2118,2118,bts unexpectedly shows the importance of seating positions during live broadcasts ,"['bts', 'unexpectedly', 'shows', 'importance', 'seating', 'positions', 'live', 'broadcasts']",bts
1763,2127,2127,btss jungkook stole hearts in his new years eve outfit ,"['btss', 'jungkook', 'stole', 'hearts', 'new', 'years', 'eve', 'outfit']",bts
1765,2129,2129,bts v showed his appreciation towards armys after seeing his birthday ad ,"['bts', 'v', 'showed', 'appreciation', 'towards', 'armys', 'seeing', 'birthday', 'ad']",bts
1768,2132,2132,bts wishes armys happy new year with heartfelt messages ,"['bts', 'wishes', 'armys', 'happy', 'new', 'year', 'heartfelt', 'messages']",bts
1771,2135,2135,armys think this girl could be bts jhope twin looking at her dancing skills ,"['armys', 'think', 'girl', 'could', 'bts', 'jhope', 'twin', 'looking', 'dancing', 'skills']",bts
1772,2136,2136,bts v hopes to release new music sometime in the near future ,"['bts', 'v', 'hopes', 'release', 'new', 'music', 'sometime', 'near', 'future']",bts
1774,2138,2138,bts rm expresses his sincerity and gratitude in new year message to fans ,"['bts', 'rm', 'expresses', 'sincerity', 'gratitude', 'new', 'year', 'message', 'fans']",bts
1775,2139,2139,bts removed the alone in post malone during the new year countdown ,"['bts', 'removed', 'alone', 'post', 'malone', 'new', 'year', 'countdown']",bts
1776,2140,2140,john cena showed off his impressive korean in an interview about bts ,"['john', 'cena', 'showed', 'impressive', 'korean', 'interview', 'bts']",bts
1787,2151,2151,karas han seungyeon had crush on bts jimin and all of korea found out ,"['karas', 'han', 'seungyeon', 'crush', 'bts', 'jimin', 'korea', 'found']",bts
