,Unnamed: 0,Unnamed: 0.1,text,Stopword,grup
834,1198,1198,bts pink jimin once went viral in countries at the same time ,"['bts', 'pink', 'jimin', 'went', 'viral', 'countries', 'time']",bts
835,1199,1199,bts v posts shockingly average videos of bestie choi woo shik to congratulate him on his award ,"['bts', 'v', 'posts', 'shockingly', 'average', 'videos', 'bestie', 'choi', 'woo', 'shik', 'congratulate', 'award']",bts
837,1201,1201,vip nation leaked unconfirmed bts tour dates for ,"['vip', 'nation', 'leaked', 'unconfirmed', 'bts', 'tour', 'dates']",bts
842,1206,1206,here is the true height and weight of each bts member google is wrong ,"['true', 'height', 'weight', 'bts', 'member', 'google', 'wrong']",bts
846,1210,1210,heres what bts jungkook looks like without makeup ,"['heres', 'bts', 'jungkook', 'looks', 'like', 'without', 'makeup']",bts
847,1211,1211, times bts drew their inspiration directly from greek mythology ,"['times', 'bts', 'drew', 'inspiration', 'directly', 'greek', 'mythology']",bts
850,1214,1214, reasons why txt are incredibly lucky to have bts as seniors ,"['reasons', 'txt', 'incredibly', 'lucky', 'bts', 'seniors']",bts
853,1217,1217,bts jimin remains grateful to old dance academy he attended before debut ,"['bts', 'jimin', 'remains', 'grateful', 'old', 'dance', 'academy', 'attended', 'debut']",bts
854,1218,1218,here a collection of bts jin being cute for your viewing pleasure ,"['collection', 'bts', 'jin', 'cute', 'viewing', 'pleasure']",bts
856,1220,1220,bts v and jin once fought over choreography before performing on stage ,"['bts', 'v', 'jin', 'fought', 'choreography', 'performing', 'stage']",bts
857,1221,1221, photos of bts making statement wearing slippers ,"['photos', 'bts', 'making', 'statement', 'wearing', 'slippers']",bts
864,1228,1228,btss jin and exos suho wearing the same suit is visual explosion ,"['btss', 'jin', 'exos', 'suho', 'wearing', 'suit', 'visual', 'explosion']",bts
876,1240,1240,bts couldn wrap their heads around the art film either but they believe in armys ,"['bts', 'wrap', 'heads', 'around', 'art', 'film', 'either', 'believe', 'armys']",bts
881,1245,1245,test yourself armys are trying out their bts knowledge with this ebs quiz show ,"['test', 'armys', 'trying', 'bts', 'knowledge', 'ebs', 'quiz', 'show']",bts
883,1247,1247,bts rm continues to grow out his hair here why and how it going ,"['bts', 'rm', 'continues', 'grow', 'hair', 'going']",bts
886,1250,1250,btss suga just told jimin to dance shirtless and his reaction was perfect ,"['btss', 'suga', 'told', 'jimin', 'dance', 'shirtless', 'reaction', 'perfect']",bts
893,1257,1257,bts jimins new silver gray hair is too hot to handle ,"['bts', 'jimins', 'new', 'silver', 'gray', 'hair', 'hot', 'handle']",bts
903,1267,1267,there are three types of men fashion as seen on bts jin rm and ,"['three', 'types', 'men', 'fashion', 'seen', 'bts', 'jin', 'rm']",bts
905,1269,1269,bts jimin cheeky reaction to question made this reporter panic pretty hard ,"['bts', 'jimin', 'cheeky', 'reaction', 'question', 'made', 'reporter', 'panic', 'pretty', 'hard']",bts
906,1270,1270,namjoon always uses gender neutral pronouns and we love it ,"['namjoon', 'always', 'uses', 'gender', 'neutral', 'pronouns', 'love']",bts
909,1273,1273,nothing can come between bts jimin and astro cha eunwoo ,"['nothing', 'come', 'bts', 'jimin', 'astro', 'cha', 'eunwoo']",bts
915,1279,1279,youtuber styles husband hair like bts jimins but it doesn turn out quite as planned ,"['youtuber', 'styles', 'husband', 'hair', 'like', 'bts', 'jimins', 'turn', 'quite', 'planned']",bts
916,1280,1280,armys wished bts safe flight and accidentally ended up trending ,"['armys', 'wished', 'bts', 'safe', 'flight', 'accidentally', 'ended', 'trending']",bts
931,1295,1295,bts dropped one new song black swan but dominated the music charts with all of their old songs too ,"['bts', 'dropped', 'one', 'new', 'song', 'black', 'swan', 'dominated', 'music', 'charts', 'old', 'songs']",bts
934,1298,1298,bts is already making history with black swan being the korean song on itunes ,"['bts', 'already', 'making', 'history', 'black', 'swan', 'korean', 'song', 'itunes']",bts
941,1305,1305,ateez san cried over exclusion from bts cover as trainee but later impressed bts as an idol ,"['ateez', 'san', 'cried', 'exclusion', 'bts', 'cover', 'trainee', 'later', 'impressed', 'bts', 'idol']",bts
946,1310,1310, intriguing connections between black swan and bts past works ,"['intriguing', 'connections', 'black', 'swan', 'bts', 'past', 'works']",bts
950,1314,1314,karmys kicked off blackswanchallenge among themselves and it breaking their backs ,"['karmys', 'kicked', 'blackswanchallenge', 'among', 'breaking', 'backs']",bts
951,1315,1315,txt beomgyu reveals he and bts suga were neighbors and didn even know it ,"['txt', 'beomgyu', 'reveals', 'bts', 'suga', 'neighbors', 'even', 'know']",bts
954,1318,1318, photos from bts jungkooks predebut adventure in la blog that resurfaced ,"['photos', 'bts', 'jungkooks', 'predebut', 'adventure', 'la', 'blog', 'resurfaced']",bts
955,1319,1319,meet chaerin jungkook childhood friend who is now rookie idol ,"['meet', 'chaerin', 'jungkook', 'childhood', 'friend', 'rookie', 'idol']",bts
958,1322,1322, black swan collaborators thank bts for promoting the art of dance ,"['black', 'swan', 'collaborators', 'thank', 'bts', 'promoting', 'art', 'dance']",bts
962,1326,1326,heres undeniable proof bts jungkooks shirt buttons have the hardest job ever ,"['heres', 'undeniable', 'proof', 'bts', 'jungkooks', 'shirt', 'buttons', 'hardest', 'job', 'ever']",bts
963,1327,1327,spotify leaked an ad for bts black swan the day before its release ,"['spotify', 'leaked', 'ad', 'bts', 'black', 'swan', 'day', 'release']",bts
965,1329,1329,rm art exhibition trips show just how much connect bts means to him ,"['rm', 'art', 'exhibition', 'trips', 'show', 'much', 'connect', 'bts', 'means']",bts
967,1331,1331,koo sarang made every army jealous on stage with bts now they re showering her with these gifts too ,"['koo', 'sarang', 'made', 'every', 'army', 'jealous', 'stage', 'bts', 'showering', 'gifts']",bts
969,1333,1333,bts rm shares the real value in being that one friend who always reaches out first ,"['bts', 'rm', 'shares', 'real', 'value', 'one', 'friend', 'always', 'reaches', 'first']",bts
970,1334,1334,this is the bittersweet story behind bts black swan ,"['bittersweet', 'story', 'behind', 'bts', 'black', 'swan']",bts
973,1337,1337,subtle details from bts jungkooks tweet highlights how much he has grown as man ,"['subtle', 'details', 'bts', 'jungkooks', 'tweet', 'highlights', 'much', 'grown', 'man']",bts
978,1342,1342,bts to perform black swan on the late late show with james corden ,"['bts', 'perform', 'black', 'swan', 'late', 'late', 'show', 'james', 'corden']",bts
980,1344,1344, unique headwear items btss pulled off absolutely perfectly ,"['unique', 'headwear', 'items', 'btss', 'pulled', 'absolutely', 'perfectly']",bts
982,1346,1346,bts drops new single black swan single plus performance art film ,"['bts', 'drops', 'new', 'single', 'black', 'swan', 'single', 'plus', 'performance', 'art', 'film']",bts
986,1350,1350, times bts showed off their kind hearts that you probably missed ,"['times', 'bts', 'showed', 'kind', 'hearts', 'probably', 'missed']",bts
987,1351,1351,bts jimin gave the little girl from sbs gayo daejeon whole box of gifts ,"['bts', 'jimin', 'gave', 'little', 'girl', 'sbs', 'gayo', 'daejeon', 'whole', 'box', 'gifts']",bts
988,1352,1352,top sexiest things btss jungkook has ever worn in public ,"['top', 'sexiest', 'things', 'btss', 'jungkook', 'ever', 'worn', 'public']",bts
998,1362,1362,bts is absolute perfection wearing racing suits in formula cf ,"['bts', 'absolute', 'perfection', 'wearing', 'racing', 'suits', 'formula', 'cf']",bts
